,zip,state,excessive_count,readmission_ratio,predicted_rate,expected_rate,nursing_care,physical_therapy,occupational_therapy,pathology_services,medical_soc_services,home_health_aid,star_rating,timeliness,rx_ed,fall_risk,depression_check,flu_shot,pneumonia_shot,d_foot_care,move_buff,in_out_bed_buff,bathing_buff,move_pain_debuff,breathing_buff,oral_rx_buff,hospital_admit,urgent_noadmit,readmit_expectation,er_admit_expectation
791,24614,VA,3,1.00305,17.400000000000002,17.3,1,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,2.6666666666666665,89.86666666666667,92.46666666666665,99.46666666666668,99.5,76.13333333333334,83.23333333333333,96.8,63.13333333333333,63.0,69.56666666666666,67.23333333333333,70.89999999999999,58.5,14.4,12.9,2,2
792,73018,OK,2,1.00305,17.400000000000002,17.3,1,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,2.5,91.63333333333334,97.09999999999998,99.5,95.83333333333333,74.43333333333334,81.93333333333334,94.63333333333333,56.800000000000004,54.4,62.166666666666664,53.5,58.36666666666667,53.76666666666667,14.933333333333332,13.299999999999999,2,2
793,78665,TX,3,1.1216666666666668,17.01666666666667,15.016666666666666,1,1.0,1.0,1.0,1.0,1.0,3.0,87.6,95.3,99.9,97.4,81.9,90.4,96.8,66.5,71.3,67.6,67.6,84.7,61.5,14.1,12.5,2,2
794,38372,TN,4,1.00305,17.400000000000002,17.3,1,1.0,1.0,1.0,1.0,1.0,2.0,90.9,99.4,100.0,98.3,59.6,40.5,100.0,47.4,37.5,53.5,49.7,44.6,39.5,18.9,19.3,2,2
795,79905,TX,4,1.02126,15.86,15.48,1,1.0,1.0,0.5,1.0,1.0,3.25,93.7,99.19999999999999,99.9,99.2,81.3,81.55,100.0,70.6,63.55,74.35,64.85,66.15,60.900000000000006,11.0,15.7,2,2
796,68144,NE,0,0.9566,3.8,4.0,1,1.0,1.0,1.0,1.0,1.0,2.5,98.3,97.1,100.0,99.4,69.4,72.5,97.2,60.0,55.1,64.6,66.3,50.1,61.5,19.9,18.7,2,2
797,84020,UT,1,0.8878833333333334,13.683333333333332,15.300000000000002,1,1.0,1.0,1.0,1.0,1.0,4.1,97.36,99.72,99.94,98.75999999999999,86.4,86.28,99.5,72.86,71.08,79.78,79.84,77.76,64.1,15.580000000000002,14.34,2,2
798,75001,TX,0,0.9623,12.4,12.8,1,1.0,1.0,1.0,1.0,1.0,4.0,96.1,99.6,100.0,100.0,90.0,92.8,100.0,73.3,73.6,82.8,80.8,73.3,75.9,12.7,13.9,2,1
799,74743,OK,2,0.9217545454545456,14.527272727272726,15.554545454545455,1,1.0,1.0,1.0,1.0,1.0,3.0,94.7,98.9,99.4,97.9,77.8,76.4,94.1,68.7,60.1,68.2,61.9,56.3,52.2,17.9,15.4,2,2
800,24701,WV,9,0.9896666666666668,16.033333333333335,16.166666666666668,1,1.0,1.0,1.0,1.0,1.0,4.2,98.26,99.0,99.84,98.4,85.32,72.4,99.56,74.03999999999999,75.46000000000001,80.22,92.38000000000001,76.11999999999999,57.739999999999995,14.820000000000002,9.62,2,2
801,72342,AR,2,1.06775,14.299999999999999,14.274999999999999,1,1.0,1.0,1.0,1.0,1.0,4.5,97.1,99.1,99.3,92.0,84.5,79.1,94.7,82.0,72.3,86.5,83.4,87.2,62.3,16.4,11.6,1,2
802,86326,AZ,2,1.0297833333333333,17.233333333333334,16.583333333333332,1,1.0,1.0,1.0,1.0,1.0,2.5,75.5,97.3,100.0,95.8,74.6,82.9,93.5,68.0,72.2,70.8,65.3,67.0,57.2,15.6,16.5,1,1
803,95991,CA,0,0.9470199999999999,15.559999999999999,16.38,1,1.0,1.0,1.0,1.0,1.0,3.0,95.0,98.5,100.0,98.5,70.4,65.3,99.6,66.6,62.0,63.6,76.6,78.9,55.1,16.0,7.8,2,3
804,67152,KS,1,1.03145,18.4,17.8,1,1.0,0.0,1.0,1.0,1.0,3.0,93.8,98.9,98.9,99.9,40.5,45.0,99.2,76.1,75.2,73.7,74.2,77.4,60.7,19.0,13.7,2,2
805,48764,MI,0,1.0021,16.933333333333334,16.933333333333334,1,1.0,1.0,0.5,1.0,1.0,3.0,88.7,98.1,100.0,99.25,75.0,63.65,98.85,63.150000000000006,71.35,66.1,75.25,76.0,61.25,22.55,12.0,1,1
806,65483,MO,2,0.9622399999999999,14.279999999999998,14.940000000000001,1,1.0,1.0,1.0,1.0,1.0,2.5,94.6,93.7,99.7,99.7,76.3,72.7,94.5,58.3,63.3,63.5,73.3,54.1,47.2,10.8,16.4,2,2
807,49036,MI,6,0.9663600000000001,13.52,13.9,1,1.0,1.0,1.0,1.0,1.0,2.5,96.8,96.8,99.5,99.1,59.0,54.4,98.4,58.4,70.2,49.2,62.4,72.0,44.4,12.7,7.5,1,2
808,38570,TN,3,0.9511000000000003,13.74,14.62,1,1.0,1.0,1.0,1.0,1.0,2.5,92.1,97.9,99.44999999999999,98.95,70.2,75.6,98.4,50.95,57.900000000000006,61.45,56.3,66.35,45.150000000000006,15.95,10.9,2,2
809,38358,TN,2,0.9696333333333332,13.016666666666666,13.516666666666667,1,1.0,1.0,1.0,1.0,0.8,3.2,97.52000000000001,96.64000000000001,99.66,96.24,81.84,81.85999999999999,99.82000000000001,63.839999999999996,53.720000000000006,64.24,63.48,62.7,47.98,14.959999999999999,15.920000000000002,2,2
810,24266,VA,6,0.9961999999999998,14.639999999999997,14.52,1,1.0,1.0,1.0,1.0,1.0,4.5,98.9,99.8,99.9,98.8,91.4,90.8,100.0,76.7,77.1,86.1,82.6,77.9,70.0,15.7,10.7,2,1
811,50112,IA,4,0.9636166666666668,14.533333333333331,14.799999999999999,1,1.0,1.0,1.0,1.0,1.0,4.0,96.63333333333334,99.8,99.76666666666667,98.23333333333333,77.56666666666666,81.2,99.10000000000001,79.66666666666667,76.10000000000001,78.83333333333333,78.10000000000001,80.33333333333333,70.2,17.400000000000002,14.733333333333334,1,1
812,37879,TN,2,0.9630599999999999,13.48,13.719999999999999,1,1.0,1.0,1.0,1.0,1.0,3.0,98.4,98.4,100.0,98.4,93.2,91.9,93.3,62.3,54.5,80.2,62.9,69.7,41.2,18.7,16.8,2,2
813,88220,NM,1,1.0293800000000002,16.26,15.4,1,1.0,1.0,1.0,1.0,1.0,3.0,86.6,99.4,97.6,92.9,68.9,79.7,97.4,69.5,66.2,69.8,72.4,68.4,64.3,15.7,12.1,1,1
814,92805,CA,2,1.0202,15.066666666666665,14.716666666666667,1,1.0,1.0,1.0,1.0,1.0,2.5,93.5,98.4,99.7,97.9,64.5,72.5,95.7,56.0,63.2,61.6,75.1,65.8,54.2,16.7,9.3,2,2
815,66211,KS,0,0.9244600000000001,13.34,14.419999999999998,1,1.0,1.0,1.0,1.0,1.0,4.0,90.8,99.7,99.8,99.1,77.0,82.7,98.8,78.2,80.3,82.0,82.9,88.5,72.6,16.4,12.4,1,1
816,57105,SD,0,0.9591800000000003,14.24,14.919999999999998,1,1.0,1.0,1.0,1.0,0.5,3.25,97.8,99.8,100.0,96.6,71.55,83.3,94.55000000000001,70.65,55.400000000000006,58.25,57.4,55.85,39.45,13.600000000000001,10.15,2,2
817,57103,SD,0,1.0152833333333333,15.016666666666671,15.049999999999999,1,1.0,1.0,1.0,1.0,1.0,2.0,82.1,98.0,100.0,98.6,76.4,85.9,98.8,58.5,62.0,63.8,61.0,54.5,43.8,22.2,6.5,1,2
818,27704,NC,0,0.9406666666666667,16.1,17.066666666666666,1,1.0,1.0,1.0,0.6666666666666666,1.0,4.5,96.46666666666665,99.13333333333333,99.59999999999998,97.83333333333333,84.5,88.7,97.89999999999999,83.39999999999999,78.2,89.96666666666665,86.10000000000001,86.96666666666665,76.33333333333333,17.7,12.833333333333334,2,2
819,45241,OH,0,1.00936,14.180000000000001,14.3,1,1.0,1.0,1.0,0.0,1.0,3.0,99.3,100.0,99.6,100.0,70.8,74.1,100.0,64.7,60.6,85.2,56.6,41.4,52.3,24.9,10.2,2,2
